"filename", "language", "JSON", "C#", "comment", "blank", "total"
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\MineStone.cs", "C#", 0, 998, 40, 169, 1207
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\Ore.cs", "C#", 0, 14, 1, 3, 18
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\StoneColliderScript.cs", "C#", 0, 35, 5, 6, 46
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Terrain\TerrainTreeProxySpawner.cs", "C#", 0, 458, 1, 96, 555
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\ColliderScript.cs", "C#", 0, 21, 3, 5, 29
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\CutTree.cs", "C#", 0, 355, 18, 63, 436
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\DetailPickupMarker.cs", "C#", 0, 45, 1, 8, 54
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\Rework\TreeHandler.cs", "C#", 0, 562, 0, 101, 663
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\TerrainDetailPickupSpawner.cs", "C#", 0, 288, 2, 50, 340
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\TerrainTreeToPrefabConverter.cs", "C#", 0, 891, 5, 167, 1063
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\UI\InfoHandler.cs", "C#", 0, 131, 11, 26, 168
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Upgrade\UpgradeManager.cs", "C#", 0, 111, 6, 23, 140
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Upgrade\UpgradeSlot.cs", "C#", 0, 33, 2, 6, 41
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\XP\PlayerXPState.cs", "C#", 0, 55, 5, 12, 72
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\XP\XPHandler.cs", "C#", 0, 182, 10, 35, 227
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\XP\XPLevelTableLoader.cs", "C#", 0, 156, 9, 36, 201
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\XP\XPLevels.json", "JSON", 14, 0, 0, 1, 15
"Total", "-", 14, 23267, 1012, 4366, 28659
